RM_ERRECHNETE_RAUMTEMPERATUR_DSP_POINT_ID_Value,RM_RBG_RAUMTEMPERATUR_POINT_ID_Value,RM_ANSTEUERUNG_DSP_VENTIL_POINT_ID_Value,DSP_FLOOR_DISTRIBUTOR_DURCHFLUSS_EQUIPMENT_ID_Value,DSP_FLOOR_DISTRIBUTOR_RUECKLAUFTEMPERATUR_EQUIPMENT_ID_Value,DSP_FLOOR_DISTRIBUTOR_VORLAUFTEMPERATUR_EQUIPMENT_ID_Value,DSP_FLOOR_DISTRIBUTOR_LEISTUNG_EQUIPMENT_ID_Value,DSP_HK_CIRCUIT_DURCHFLUSS_EQUIP_ID_Value,DSP_HK_CIRCUIT_LEISTUNG_EQUIP_ID_Value,DSP_KK_CIRCUIT__24A1_AUSSENTEMPERATUR_EQUIP_ID_Value,DSP_KK_CIRCUIT_DS_VL_TEMPERATUR_EQUIP_ID_Value,DSP_KK_CIRCUIT_DS_RL_TEMPERATUR_EQUIP_ID_Value,DSP_KK_CIRCUIT_DS_VENTIL_V2_MISCHVENTIL__EQUIP_ID_Value,sunhour_value,timestamp
20,"23,006136",0,0,"27,32","33,44",0,"2,2840002","8,900001","-0,8012225","36,114746","32,604805","99,91072",0,2021-03-01 00:00:00+00:00
20,"22,902065",0,0,"27,279999","33,18",0,"2,2800002","9,6","-0,9206198","36,539986","32,70997","99,91072",0,2021-03-01 00:15:00+00:00
20,"22,902065",0,0,"27,25","33,34",0,"2,2800002","6,8","-1,0425425","35,707016","32,91766","99,91072",0,2021-03-01 00:30:00+00:00
20,"22,902065",0,0,"27,24","33,469997",0,"2,252","7,4","-1,0680292","36,01266","32,91476","99,91072",0,2021-03-01 00:45:00+00:00
20,"22,902065",0,0,"27,21","33,329998",0,"2,301","9,5","-1,1593397","36,64458","32,813126","99,91072",0,2021-03-01 01:00:00+00:00
20,"22,698595",0,0,"27,15","33,26",0,"2,2800002","8,8","-1,2559434","36,436962","33,025482","99,91072",0,2021-03-01 01:15:00+00:00
20,"22,698595",0,0,"27,13","33,46",0,"1,9590001","5,4","-1,3404697","36,035225","33,444283","99,91072",0,2021-03-01 01:30:00+00:00
22,"22,698595","15,070248",0,"27,13","33,68",0,"2,0440001","7,1","-1,4420586","36,751175","33,343506","99,91072",0,2021-03-01 01:45:00+00:00
22,"22,698595","15,070248","0,83400005","24,4","34,29","9,5","3,16","15,7","-1,4686124","34,658733","29,807425","99,91072",0,2021-03-01 02:00:00+00:00
22,"22,698595","15,070248","1,171","27,21","33,5","8,3","3,4","14,6","-1,5905209","33,91576","30,018568","99,91072",0,2021-03-01 02:15:00+00:00
22,"22,698595","15,070248","1,176","28,81","33,329998","6,2000003","3,4390001","11,900001","-1,7548085","33,723106","30,436636","99,91072",0,2021-03-01 02:30:00+00:00
22,"22,698595","15,070248","1,1880001",29,"34,02",7,"3,4410002","13,7","-1,8610222","34,445175","30,644278","99,91072",0,2021-03-01 02:45:00+00:00
22,"22,698595","15,070248","1,1650001","29,23","34,82","7,4","3,413","16,5","-1,9154608","35,15195","30,755884","99,91072",0,2021-03-01 03:00:00+00:00
22,"22,698595","15,070248","1,176","29,56","34,62","6,5","3,4480002","15,5","-1,9674149","34,943016","30,957216","99,91072",0,2021-03-01 03:15:00+00:00
22,"22,698595","15,070248","1,176","29,66","33,79","5,5","3,5180001",12,"-2,0456438","34,129642","30,954325","99,91072",0,2021-03-01 03:30:00+00:00
22,"22,698595","15,070248","1,1880001","29,56","34,079998","6,3","3,4800003","12,6","-2,0700467","34,462273","30,954325","99,91072",0,2021-03-01 03:45:00+00:00
22,"22,698595","15,070248","1,1960001","29,55","34,94","7,4","3,44","15,900001","-2,2588146","35,20358","31,064842","99,91072",0,2021-03-01 04:00:00+00:00
22,"22,698595","15,070248","1,1830001","29,75","35,05","7,1","3,6000001","17,6","-2,364363","35,307747","30,660147","99,91072",0,2021-03-01 04:15:00+00:00
22,"22,698595","15,070248","1,1880001","29,82","34,12","5,5","3,6000001","14,6","-2,4528184","34,46926","30,862835","99,91072",0,2021-03-01 04:30:00+00:00
22,"22,899485","5,0257683","1,195","29,72","33,63","5,5","3,64",12,"-2,4720287","33,94451","30,86283","99,91072",0,2021-03-01 04:45:00+00:00
22,"22,899485","5,0257683","1,1040001","29,65","35,53","7,4","3,5600002","19,800001","-2,4730303","35,837513","30,864641","99,91072",0,2021-03-01 05:00:00+00:00
22,"22,899485","5,0257683","1,0940001","30,199999","34,82","5,7000003","3,6000001","15,900001","-2,6261523","35,3099","31,277336","99,91072",0,2021-03-01 05:15:00+00:00
22,"22,899485","5,0257683","1,103","30,119999","34,53","5,7000003","3,5230002","13,6","-2,6762547","34,887726","31,275366","99,91072",0,2021-03-01 05:30:00+00:00
22,"22,899485","5,0257683","1,092","30,039999","35,2","6,6","3,4480002","15,7","-2,690819","35,52","31,275366","99,91072",0,2021-03-01 05:45:00+00:00
22,"22,899485","5,0257683","1,092","30,17","35,82",7,"3,4570003","18,5","-2,635889","36,16054","31,376732","99,91072",0,2021-03-01 06:00:00+00:00
22,"22,899485","5,0257683","1,0940001","30,429998","35,26",6,"3,6000001","17,300001","-2,4119785","35,73585","31,382267","99,91072",0,2021-03-01 06:15:00+00:00
22,"22,899485","5,0257683","1,092","30,31","34,34","5,2000003","3,5200002","12,2","-2,0010374","34,602097","31,376732","99,91072",0,2021-03-01 06:30:00+00:00
22,"22,899485","5,0257683","1,1040001","30,119999","35,82","7,3","3,4480002","17,800001","-1,5139104","36,164307","31,382269","99,91072",0,2021-03-01 06:45:00+00:00
22,"23,000309",0,"1,092","30,47","35,78","6,8","3,4420002","17,6","-1,0728914","36,173386","31,48067","99,91072","0,5",2021-03-01 07:00:00+00:00
