Forecast_0,Forecast_1,Forecast_2,Forecast_3,Forecast_4,Forecast_5,Forecast_6,Forecast_7,Forecast_8,Forecast_9,Forecast_10,Forecast_11,Forecast_12,Forecast_13,True_0,True_1,True_2,True_3,True_4,True_5,True_6,True_7,True_8,True_9,True_10,True_11,True_12,True_13
0.15454401,0.39139968,0.100471996,0.49107727,0.4248207,0.6034761,0.36387947,0.7502485,0.56603533,0.3320257,0.5159133,0.6215532,0.9348825,0.03568592,0.17647052,0.4839084,0.0,0.50937814,0.3040865,0.49911988,0.30511808,0.83728063,0.48185122,0.2838731,0.42289814,0.5411984,1.0,0.0
0.15398088,0.3912185,0.09857564,0.4836447,0.41967025,0.60001725,0.36129835,0.74131024,0.5629729,0.33432683,0.5135061,0.61934155,0.9325468,0.037182525,0.17647052,0.4839084,0.0,0.50937814,0.3016827,0.498142,0.30314958,0.85964906,0.48094377,0.2864996,0.42289814,0.53889257,1.0,0.0
0.15383889,0.39101925,0.098372124,0.48713508,0.4208537,0.60057056,0.36204487,0.7468295,0.5639426,0.33348513,0.5138234,0.61979896,0.933433,0.036982786,0.17647052,0.4839084,0.0,0.5044423,0.29807693,0.4952083,0.30118108,0.9035088,0.48185122,0.28923982,0.42120397,0.5343618,1.0,0.0
0.15341692,0.3902328,0.09787045,0.4942891,0.42331946,0.60183716,0.36375177,0.75722885,0.56612337,0.3314566,0.51463854,0.62064385,0.935527,0.036267858,0.17647052,0.47029114,0.0,0.5044423,0.29447114,0.48934087,0.30118108,0.9035088,0.477314,0.29212856,0.41780883,0.5343618,1.0,0.0
0.15217869,0.3887983,0.09524037,0.4904903,0.4192177,0.5989614,0.36202216,0.7534176,0.56427366,0.33212656,0.51270133,0.6187487,0.9338546,0.03724821,0.17647052,0.47029114,0.0,0.5034551,0.29086536,0.4885586,0.29724407,0.9035088,0.4727768,0.297689,0.41433296,0.52972317,1.0,0.0
0.15130362,0.387829,0.09384163,0.48403147,0.41269618,0.5941599,0.35915387,0.7473723,0.5609255,0.33404192,0.50924474,0.615725,0.93169427,0.038775347,0.17647052,0.47029114,0.0,0.5088845,0.28685898,0.48523372,0.29724407,0.9035088,0.4727768,0.29847473,0.4126873,0.52972317,1.0,0.0
0.15101007,0.3878604,0.09254779,0.47879633,0.4053381,0.58833045,0.35638073,0.74010503,0.5572177,0.33757216,0.5050726,0.6118293,0.92885524,0.040920533,0.17647052,0.47029114,0.0,0.5069102,0.28245193,0.4795619,0.29330707,0.8945175,0.46823958,0.30694252,0.40921238,0.5275045,1.0,0.0
0.1498003,0.38701028,0.09047282,0.46961853,0.39474273,0.5803359,0.35217425,0.728967,0.5518511,0.3423867,0.49915323,0.60637456,0.92686236,0.04419274,0.17647052,0.47029114,0.0,0.51332676,0.27764422,0.47877958,0.29330707,0.9035088,0.46823958,0.31541523,0.40584067,0.5251882,1.0,0.0
0.14991581,0.38786155,0.090058476,0.46966374,0.39187476,0.5778633,0.3512885,0.7285524,0.550509,0.34496647,0.49720308,0.60467947,0.9273422,0.046238817,0.17647052,0.47029114,0.0,0.50937814,0.27483976,0.4758459,0.29133856,0.9035088,0.46370238,0.31911537,0.40409324,0.5206942,1.0,0.0
0.14958896,0.3882018,0.08872078,0.4659031,0.38675332,0.5739547,0.3492931,0.7232331,0.54785067,0.3482685,0.4942504,0.6019896,0.9267,0.048508085,0.17647052,0.47029114,0.0,0.5153011,0.27123398,0.47291222,0.29133856,0.9199561,0.46460983,0.32389802,0.40240982,0.518356,1.0,0.0
0.14975809,0.38870174,0.08858465,0.46898988,0.38608623,0.57305855,0.34948114,0.72662276,0.5479274,0.34918958,0.49352723,0.6013712,0.9273665,0.049630262,0.17647052,0.47029114,0.0,0.5153011,0.2676282,0.4697829,0.28937006,0.9122807,0.4618875,0.3263165,0.39899033,0.518356,1.0,0.0
0.1490734,0.38827726,0.08783222,0.46501416,0.3791986,0.5681281,0.34696174,0.7183432,0.54464304,0.35287774,0.48988092,0.59791577,0.92564154,0.05203962,0.17647052,0.47029114,0.0,0.50937814,0.265625,0.46841383,0.28937006,0.8947369,0.4591652,0.326185,0.3973199,0.5160582,1.0,0.0
0.14837869,0.38775852,0.08757344,0.4589185,0.37214732,0.56319034,0.34395283,0.70885295,0.5409017,0.356254,0.48616302,0.59473747,0.92451584,0.054437347,0.17647052,0.48377728,0.0,0.50937814,0.26362175,0.4668492,0.28740156,0.9122807,0.4600726,0.34085622,0.3973199,0.51386327,1.0,0.0
0.14821228,0.38794085,0.089039214,0.46043718,0.36836803,0.5602765,0.3428403,0.7083827,0.5392576,0.35917142,0.4837747,0.5927997,0.92555654,0.05665853,0.17647052,0.53792095,0.0,0.5153011,0.26322114,0.46528456,0.28346455,0.86447364,0.45644286,0.3493032,0.39558017,0.51386327,1.0,0.0
0.14976053,0.39297158,0.0842664,0.4533413,0.3648798,0.55825925,0.34022936,0.69215465,0.53575784,0.36675423,0.48206776,0.59159315,0.9247278,0.06109419,0.17647052,0.5649617,0.0,0.4323791,0.26442307,0.4641111,0.28346455,0.8070175,0.45462796,0.35776526,0.39383075,0.51386327,1.0,0.0
0.15189312,0.40246728,0.06801196,0.3967043,0.35727853,0.55574656,0.3301956,0.6460757,0.52659184,0.3752587,0.47968584,0.5908835,0.9226221,0.0671619,0.17647052,0.57840014,0.0,0.42645606,0.26442307,0.46332875,0.28346455,0.79978067,0.4528131,0.3588407,0.39383075,0.51386327,1.0,0.0
0.15642452,0.41208658,0.0658811,0.38946435,0.3628517,0.56004715,0.33057708,0.6373891,0.52674663,0.3807986,0.4823457,0.59374577,0.9269073,0.07126485,0.17647052,0.57840014,0.0,0.42645606,0.26282054,0.46254647,0.28149605,0.79824555,0.45190564,0.35232756,0.3921718,0.51386327,1.0,0.0
0.15891084,0.4185757,0.064276084,0.38970625,0.3692658,0.56496716,0.3320538,0.63662744,0.52829057,0.3819176,0.48577216,0.59718984,0.93031067,0.073440254,0.17647052,0.57840014,0.0,0.4323791,0.26121795,0.461373,0.28149605,0.8070175,0.45009077,0.3548789,0.3921718,0.5115258,1.0,0.0
0.15994921,0.42142725,0.0636533,0.3883469,0.37248743,0.56743324,0.3325289,0.6374146,0.5290004,0.38131082,0.48746407,0.59910274,0.9307,0.07317698,0.17647052,0.57840014,0.0,0.4323791,0.25961536,0.46019948,0.28149605,0.8070175,0.45099822,0.35202235,0.39049047,0.5115258,1.0,0.0
0.16000122,0.42190766,0.06350253,0.38522366,0.37216625,0.5673538,0.3319542,0.63526595,0.52846205,0.3812734,0.48735994,0.599176,0.9307118,0.073125914,0.17647052,0.57840014,0.0,0.42003947,0.2572115,0.45863485,0.28149605,0.72785085,0.45009077,0.35358766,0.3887445,0.5069893,1.0,0.0
0.16064385,0.4266398,0.058545988,0.3677532,0.37525928,0.5712732,0.33007383,0.6195396,0.5274002,0.38184488,0.48995844,0.6022773,0.9376323,0.0771546,0.17647052,0.57840014,0.0,0.42645606,0.25520837,0.45667908,0.28149605,0.7368421,0.44918332,0.36200255,0.3870625,0.5069893,1.0,0.0
0.16098621,0.4257565,0.06134398,0.36438477,0.36965483,0.5669223,0.3283301,0.6182592,0.52497935,0.38369533,0.48604998,0.5995195,0.94003624,0.07793409,0.17647052,0.57840014,0.0,0.42645606,0.25280452,0.45570114,0.28149605,0.73442984,0.44918332,0.3577654,0.3870625,0.5069893,1.0,0.0
0.16041991,0.4243208,0.060583364,0.3652348,0.36981207,0.5671498,0.32835257,0.617535,0.52512825,0.38381803,0.48612016,0.599597,0.94149816,0.07775747,0.17647052,0.57840014,0.0,0.42645606,0.2504006,0.45472327,0.28149605,0.72807014,0.4482759,0.34929818,0.3870625,0.5047316,1.0,0.0
0.15981555,0.42300674,0.06046471,0.36409384,0.37070045,0.5678931,0.328352,0.6182385,0.5254945,0.38213906,0.48671675,0.6002358,0.94065636,0.07456272,0.17647052,0.57840014,0.0,0.4323791,0.24879807,0.4533542,0.27952754,0.72807014,0.4482759,0.34714273,0.38537663,0.5047316,1.0,0.0
0.15924409,0.42129377,0.06054899,0.36378688,0.36973816,0.56711143,0.32809764,0.6180123,0.5252852,0.38189363,0.4860444,0.5996605,0.9405384,0.073458344,0.17647052,0.5651674,0.0,0.4323791,0.24679482,0.45198512,0.27952754,0.71929824,0.44736844,0.34499618,0.3836311,0.5024009,1.0,0.0
0.15800013,0.41769022,0.060707346,0.36005795,0.36621818,0.5645206,0.32692373,0.6155303,0.52416795,0.38167328,0.48381633,0.5978278,0.9405798,0.07210431,0.17647052,0.5651674,0.0,0.43040475,0.24519235,0.4502249,0.27952754,0.7508772,0.4482759,0.34943658,0.38195455,0.50015557,1.0,0.0
0.1566287,0.41243032,0.06454893,0.3615483,0.36024043,0.55969447,0.3256543,0.6189411,0.5224595,0.38074392,0.4800675,0.59468985,0.9381435,0.07002056,0.17647052,0.52563095,0.0,0.42645606,0.2435897,0.4502249,0.27952754,0.78947365,0.44918332,0.35083312,0.38195455,0.50015557,1.0,0.016666668
0.15313318,0.40420705,0.069479376,0.3701755,0.355222,0.5552217,0.3248039,0.6260576,0.52130747,0.3782387,0.47716025,0.5920177,0.9357803,0.067984454,0.17647052,0.52563095,0.0,0.42645606,0.24198717,0.45061606,0.28149605,0.7719298,0.44918332,0.35249573,0.38195455,0.50015557,1.0,0.016666668
